MKT_RF,SMB,HML,RF,date
0.0296,-0.023,-0.0287,0.0022,192607
0.0264,-0.013999999999999999,0.04190000000000001,0.0025,192608
0.0036,-0.0132,0.0001,0.0023,192609
-0.032400000000000005,0.0004,0.0051,0.0032,192610
0.0253,-0.002,-0.0034999999999999996,0.0031,192611
0.0262,-0.0004,-0.0002,0.0028000000000000004,192612
-0.0006,-0.005600000000000001,0.0483,0.0025,192701
0.0418,-0.001,0.0317,0.0026,192702
0.0013,-0.016,-0.026699999999999998,0.003,192703
0.0046,0.0043,0.006,0.0025,192704
0.054400000000000004,0.0141,0.0493,0.003,192705
-0.023399999999999997,0.004699999999999999,-0.015300000000000001,0.0026,192706
0.0726,-0.0323,-0.0116,0.003,192707
0.0197,-0.0072,-0.0369,0.0028000000000000004,192708
0.047599999999999996,-0.035699999999999996,-0.0070999999999999995,0.0021,192709
-0.0431,0.0213,-0.0433,0.0025,192710
0.0658,0.0276,-0.0031,0.0021,192711
0.0209,0.009300000000000001,-0.0106,0.0022,192712
-0.0068000000000000005,0.0425,-0.0072,0.0025,192801
-0.017,-0.0203,-0.0069,0.0033,192802
0.08810000000000001,-0.0026,-0.012,0.0029,192803
0.042300000000000004,0.0382,0.036699999999999997,0.0022,192804
0.0152,0.0298,-0.0346,0.0032,192805
-0.048499999999999995,-0.035,-0.0006,0.0031,192806
0.0062,-0.013500000000000002,-0.004699999999999999,0.0032,192807
0.0668,-0.0207,-0.021099999999999997,0.0032,192808
0.0288,0.0218,0.0076,0.0027,192809
0.013300000000000001,0.0227,-0.0226,0.0040999999999999995,192810
0.11810000000000001,-0.0181,0.027999999999999997,0.0038,192811
0.0036,-0.0085,-0.006,0.0006,192812
0.0466,-0.0355,-0.0121,0.0034000000000000002,192901
-0.0034000000000000002,-0.0039000000000000003,0.0168,0.0036,192902
-0.0089,-0.0478,0.015600000000000001,0.0034000000000000002,192903
0.0143,-0.009899999999999999,0.0060999999999999995,0.0036,192904
-0.0639,-0.0546,-0.015700000000000002,0.0044,192905
0.09699999999999999,-0.0217,-0.0276,0.0052,192906
0.0446,-0.0387,0.026699999999999998,0.0033,192907
0.0818,-0.0951,0.0007000000000000001,0.004,192908
-0.0547,0.011699999999999999,-0.0063,0.0034999999999999996,192909
-0.20120000000000002,-0.0408,0.0785,0.0046,192910
-0.1274,-0.0191,0.0533,0.0037,192911
0.013300000000000001,-0.042,-0.0059,0.0037,192912
0.056100000000000004,0.0358,-0.0101,0.0014000000000000002,193001
0.025,0.0012,0.0039000000000000003,0.003,193002
0.071,0.0344,0.0015,0.0034999999999999996,193003
-0.0206,-0.0017000000000000001,-0.0084,0.0021,193004
-0.0166,-0.0204,-0.0063,0.0026,193005
-0.16269999999999998,-0.0322,0.02,0.0027,193006
0.0412,-0.0037,-0.015600000000000001,0.002,193007
0.003,-0.0222,-0.0078000000000000005,0.0009,193008
-0.1275,-0.0222,-0.0527,0.0022,193009
-0.08779999999999999,-0.001,-0.013500000000000002,0.0009,193010
-0.0304,0.022099999999999998,-0.0353,0.0013,193011
-0.0783,-0.046799999999999994,-0.053899999999999997,0.0014000000000000002,193012
0.062400000000000004,0.0381,0.0721,0.0015,193101
0.10880000000000001,0.0339,0.016,0.0004,193102
-0.0643,0.030699999999999998,-0.0365,0.0013,193103
-0.0998,-0.0461,-0.0392,0.0008,193104
-0.1324,0.0516,-0.06570000000000001,0.0009,193105
0.139,-0.0538,0.113,0.0008,193106
-0.0662,0.0143,-0.021,0.0006,193107
0.0040999999999999995,-0.0197,-0.0149,0.0003,193108
-0.2913,0.005600000000000001,-0.0675,0.0003,193109
0.08039999999999999,-0.0187,0.017,0.001,193110
-0.0908,0.043,-0.050499999999999996,0.0017000000000000001,193111
-0.1353,-0.005600000000000001,-0.0886,0.0012,193112
-0.0158,0.0394,0.0904,0.0023,193201
0.0546,-0.0277,-0.014499999999999999,0.0023,193202
-0.1121,0.0227,-0.0232,0.0016,193203
-0.1796,0.0144,0.014199999999999999,0.0011,193204
-0.2051,0.037200000000000004,-0.032799999999999996,0.0006,193205
-0.006999999999999999,0.0034999999999999996,0.053200000000000004,0.0002,193206
0.33840000000000003,-0.0444,0.3546,0.0003,193207
0.37060000000000004,0.1429,0.33030000000000004,0.0003,193208
-0.0294,-0.024300000000000002,-0.0682,0.0003,193209
-0.1317,-0.0276,-0.10039999999999999,0.0002,193210
-0.0588,0.0208,-0.1328,0.0002,193211
0.044000000000000004,-0.0827,-0.0816,0.0001,193212
0.0125,0.0063,0.061399999999999996,0.0001,193301
-0.1524,-0.0275,-0.0273,-0.0003,193302
0.0329,0.039,0.0738,0.0004,193303
0.3885,0.045599999999999995,0.1743,0.001,193304
0.2143,0.36700000000000005,0.19030000000000002,0.0004,193305
0.1311,0.0867,-0.018799999999999997,0.0002,193306
-0.09630000000000001,-0.0101,0.0327,0.0002,193307
0.12050000000000001,-0.0545,0.0296,0.0003,193308
-0.1065,-0.0032,-0.1177,0.0002,193309
-0.0836,-0.0008,-0.08460000000000001,0.0001,193310
0.09970000000000001,-0.06480000000000001,0.0233,0.0002,193311
0.0183,0.0066,-0.015300000000000001,0.0002,193312
0.126,0.1253,0.15539999999999998,0.0005,193401
-0.025,0.0519,0.0212,0.0002,193402
0.0009,0.025099999999999997,-0.0273,0.0002,193403
-0.0179,0.027999999999999997,-0.0375,0.0001,193404
-0.0725,-0.0026,-0.0591,0.0001,193405
0.0264,-0.021400000000000002,-0.0292,0.0001,193406
-0.1096,-0.0694,-0.1066,0.0001,193407
0.0558,0.0542,0.005,0.0001,193408
-0.0023,-0.0152,-0.0124,0.0001,193409
-0.0166,0.0124,-0.051100000000000007,0.0001,193410
0.0833,0.0649,-0.022400000000000003,0.0001,193411
0.0036,0.0308,-0.0317,0.0001,193412
-0.0345,0.010700000000000001,-0.0189,0.0001,193501
-0.0194,0.0042,-0.0724,0.0002,193502
-0.0368,-0.0354,-0.0506,0.0001,193503
0.0906,-0.015600000000000001,0.042699999999999995,0.0001,193504
0.0347,-0.032799999999999996,0.0252,0.0001,193505
0.0593,-0.050300000000000004,0.0213,0.0001,193506
0.0751,0.0147,0.06860000000000001,0.0001,193507
0.0265,0.06280000000000001,0.057,0.0001,193508
0.0263,0.015700000000000002,-0.0405,0.0001,193509
0.0703,0.0265,-0.0233,0.0001,193510
0.048799999999999996,0.043,0.1191,0.0002,193511
0.045599999999999995,0.0022,0.010700000000000001,0.0001,193512
0.0689,0.051,0.1051,0.0001,193601
0.024900000000000002,0.011399999999999999,0.0504,0.0001,193602
0.009899999999999999,0.0066,-0.0166,0.0002,193603
-0.0814,-0.0603,-0.0208,0.0002,193604
0.0519,0.008100000000000001,0.0263,0.0002,193605
0.024,-0.0325,-0.012,0.0003,193606
0.0667,0.011399999999999999,0.0256,0.0001,193607
0.009899999999999999,0.0072,0.039900000000000005,0.0002,193608
0.0098,0.030699999999999998,0.0088,0.0001,193609
0.0712,-0.0239,0.0252,0.0002,193610
0.0327,0.0901,-0.0092,0.0001,193611
0.0021,0.0361,0.039599999999999996,0.0,193612
0.0335,0.0431,0.026099999999999998,0.0001,193701
0.0109,0.0123,0.050499999999999996,0.0002,193702
-0.0027,-0.0178,0.0639,0.0001,193703
-0.0736,-0.0377,-0.0361,0.0003,193704
-0.0083,-0.0066,-0.0349,0.0006,193705
-0.0421,-0.0365,-0.0321,0.0003,193706
0.0891,0.0085,0.008199999999999999,0.0003,193707
-0.048600000000000004,0.0042,-0.0225,0.0002,193708
-0.1361,-0.0689,-0.045700000000000005,0.0004,193709
-0.09609999999999999,0.0045000000000000005,-0.016200000000000003,0.0002,193710
-0.08310000000000001,-0.0365,0.002,0.0002,193711
-0.0424,-0.0776,-0.0039000000000000003,0.0,193712
0.0049,0.049699999999999994,-0.016,0.0,193801
0.0584,0.0034999999999999996,-0.0202,0.0,193802
-0.2382,-0.0424,-0.0352,-0.0001,193803
0.1451,0.0637,0.0018,0.0001,193804
-0.0383,-0.024700000000000003,-0.0028000000000000004,0.0,193805
0.23870000000000002,0.0405,0.003,0.0,193806
0.07339999999999999,0.0666,0.0218,-0.0001,193807
-0.026699999999999998,-0.024399999999999998,-0.0472,0.0,193808
0.008100000000000001,-0.027200000000000002,-0.016200000000000003,0.0002,193809
0.078,0.0583,0.0501,0.0001,193810
-0.0172,-0.0256,-0.0123,-0.0006,193811
0.04190000000000001,-0.018000000000000002,0.005,0.0,193812
-0.0596,-0.015600000000000001,-0.0392,-0.0001,193901
0.0351,0.0063,0.029500000000000002,0.0001,193902
-0.1199,-0.047599999999999996,-0.08289999999999999,-0.0001,193903
-0.0018,0.0166,-0.003,0.0,193904
0.068,0.0281,0.004699999999999999,0.0001,193905
-0.053099999999999994,-0.0102,-0.0541,0.0001,193906
0.1024,0.0432,-0.0003,0.0,193907
-0.0668,-0.0461,-0.0242,-0.0001,193908
0.16879999999999998,0.2023,0.22219999999999998,0.0001,193909
-0.0053,-0.0001,-0.0489,0.0,193910
-0.0362,-0.0507,-0.0646,0.0,193911
0.030299999999999997,0.0079,-0.0406,0.0,193912
